component,num_tensors,numel,ref_norm,cmp_norm,diff_norm,rel_l2,cosine,centered_cosine,rmse,mae,max_abs_diff,ref_mean,cmp_mean,norm_ratio_cmp_over_ref
attn,18,6294528,112.90631591727377,110.74320470487417,129.53499498832082,1.147278555109626,0.3292081464046706,0.3291267241315749,0.05163040452475214,0.03869246429598135,0.7421728372573853,0.00047995500778347586,0.0005028495645053273,0.9808415393343938
embedding,2,26279936,258.1839161136784,202.24365122559365,276.35377943402676,1.0703756593123648,0.29866302601261324,0.29673402885412137,0.05390800460302075,0.041953974419698455,0.5052593946456909,0.0017881270290754196,0.004555769924288081,0.783331720541979
lm_head,1,25755648,257.6339760687631,201.73623326636195,275.5530093058321,1.0695522908526878,0.29960405192920014,0.2976364831866381,0.05429613522567137,0.042356631834695055,0.40610411763191223,0.0018236521849498797,0.004631524777594413,0.7830342734473735
ln_f,1,512,52.371266088559956,13.50870657014365,39.078328043255,0.7461787915757744,0.9881147498379357,-0.043188876259611805,1.7270344223011271,1.7165502309799194,2.4889941215515137,2.308297872543335,0.5917474031448364,0.2579411875836721
mlp,18,12585984,152.25849858259144,144.2270250453013,183.8252540474434,1.2073234384859561,0.23206871231465864,0.23203551008121517,0.05181572596054755,0.040264223411815056,1.1087137460708618,0.00036649570458856343,0.0002135895679084039,0.9472510657069594
