layer,num_tensors,numel,ref_norm,cmp_norm,diff_norm,rel_l2,cosine,centered_cosine,rmse,mae,max_abs_diff,ref_mean,cmp_mean,norm_ratio_cmp_over_ref
0,6,3146752,65.78458675520598,69.86094696180686,78.73068111753484,1.1967952525186967,0.3274359964218485,0.32742096892329975,0.04438260101406437,0.03420569362671027,0.5081605911254883,0.0002086672398816034,0.00016048396678427474,1.0619652780030315
1,6,3146752,70.79161460055778,66.65124945073968,82.59839663531153,1.1667822114437367,0.2788418257330362,0.27879788964167995,0.04656293620518411,0.035300487862748975,0.8079711198806763,0.00036920924673115743,0.00025244756034107773,0.9415133392114287
2,6,3146752,74.59366868793353,77.76907536580303,92.58542206540034,1.24119678913684,0.2620360226040673,0.2619669593144724,0.052192890864400515,0.04029149996838661,1.0288416147232056,0.00042205228807578595,0.000409129071917677,1.0425693860313263
3,6,3146752,80.06896098478856,76.92679534493176,96.15468769459363,1.2008984069727222,0.25026966296787323,0.2502439055457519,0.05420498183179871,0.04197808505535087,0.7421728372573853,0.0004337668919549716,0.00017787603218335108,0.960756757659766
4,6,3146752,84.16717025555822,77.03098218766833,98.77691114575842,1.1735800413135002,0.2514858388080065,0.25141056180331894,0.055683199669505815,0.043887725607254124,0.8681976795196533,0.0004959621532158572,0.0004182206124329156,0.915214114408003
5,6,3146752,86.78741580432147,76.43963654995144,99.87672980282241,1.1508204141947636,0.25623402774171294,0.25615663580029163,0.05630319700664842,0.042777818644930285,1.1087137460708618,0.0004962719354100872,0.0004419942864989986,0.880768667225891
