layer,num_tensors,numel,ref_norm,cmp_norm,diff_norm,rel_l2,cosine,centered_cosine,rmse,mae,max_abs_diff,ref_mean,cmp_mean,norm_ratio_cmp_over_ref
0,4,3145728,61.04898487093764,62.10132268949798,78.23782673194778,1.2815581929388131,0.19286588098810645,0.19286301619525925,0.044111943676270846,0.0341369059557716,0.4845238924026489,-3.7414147755043814e-05,-0.00016459351869949992,1.0172375973291785
1,4,3145728,63.28664521753878,59.885591020218044,82.36165509643799,1.3014065576288898,0.1066028832157381,0.10660513572690203,0.046437034903155844,0.03525950356076161,0.4658713936805725,5.769032062138043e-05,-4.237776632483777e-05,0.9462595278098547
2,4,3145728,66.30443262900967,70.38135517486147,92.3684089590852,1.3930955336864155,0.08763240251816179,0.08762884919325936,0.052079029079243444,0.04025133978575468,0.6405951976776123,7.865013625026525e-05,7.351582659490911e-05,1.0614879335241918
3,4,3145728,72.08790012365654,69.30938003714081,96.07807481398103,1.3327905882842026,0.07700183504776388,0.07701074909520828,0.054170607770579055,0.04195962411661943,0.7421728372573853,8.039115891733672e-05,-0.00016033364894004384,0.9614564985004478
4,4,3145728,76.0638540957684,69.01758870946979,98.73117774535243,1.2980038800169744,0.07631725846279942,0.07631221458502595,0.05566647661004689,0.043878558712701,0.8681976795196533,0.00013051631397805372,7.061908278653088e-05,0.907363813337318
5,4,3145728,79.048467520156,68.18800953815408,99.835714355334,1.262968372282203,0.08636991251486843,0.08636349773140536,0.056289234919717455,0.042768532410264015,1.1087137460708618,0.0001326304986832838,9.093558765016496e-05,0.8626101387831119
