component,num_tensors,numel,ref_norm,cmp_norm,diff_norm,rel_l2,cosine,centered_cosine,rmse,mae,max_abs_diff,ref_mean,cmp_mean,norm_ratio_cmp_over_ref
attn,12,6291456,98.76733551451224,94.93550112781651,129.1248415330208,1.307363824895813,0.11168908957309573,0.11168906484494931,0.05147948809792281,0.03864115197211504,0.7421728372573853,1.0071704688622654e-05,4.306767095840769e-06,0.961203424525584
embedding,2,26279936,258.1839161136784,202.24365122559365,276.35377943402676,1.0703756593123648,0.29866302601261324,0.29673402885412137,0.05390800460302075,0.041953974419698455,0.5052593946456909,0.0017881270290754196,0.004555769924288081,0.783331720541979
lm_head,1,25755648,257.6339760687631,201.73623326636195,275.5530093058321,1.0695522908526878,0.29960405192920014,0.2976364831866381,0.05429613522567137,0.042356631834695055,0.40610411763191223,0.0018236521849498797,0.004631524777594413,0.7830342734473735
mlp,12,12582912,140.0160872889506,132.66674952927755,183.60095265126793,1.3112846973960317,0.09409341377775453,0.09409631043672587,0.051758818084317024,0.04024304014941057,1.1087137460708618,0.0001055802178295077,-3.521199278111453e-05,0.9475107617847781
