checkpoint,label,iter_num,best_val_loss,n,reduce,model,method,num_layers,n_mean,n_max,n_min,identity_fro_mean,identity_fro_max,identity_fro_min,identity_rmse_mean,identity_rmse_max,identity_rmse_min,identity_mae_mean,identity_mae_max,identity_mae_min,identity_max_abs_mean,identity_max_abs_max,identity_max_abs_min,diag_mass_mean,diag_mass_max,diag_mass_min,diag_mass_frac_mean,diag_mass_frac_max,diag_mass_frac_min,offdiag_mass_mean,offdiag_mass_max,offdiag_mass_min,offdiag_mass_frac_mean,offdiag_mass_frac_max,offdiag_mass_frac_min,total_mass_mean,total_mass_max,total_mass_min,row_entropy_mean_mean,row_entropy_mean_max,row_entropy_mean_min,row_entropy_norm_mean_mean,row_entropy_norm_mean_max,row_entropy_norm_mean_min,row_entropy_norm_max_mean,row_entropy_norm_max_max,row_entropy_norm_max_min,effective_support_mean_mean,effective_support_mean_max,effective_support_mean_min,row_top1_mass_mean_mean,row_top1_mass_mean_max,row_top1_mass_mean_min,row_top1_mass_min_mean,row_top1_mass_min_max,row_top1_mass_min_min,row_top2_mass_mean_mean,row_top2_mass_mean_max,row_top2_mass_mean_min,row_argmax_is_diag_frac_mean,row_argmax_is_diag_frac_max,row_argmax_is_diag_frac_min,col_argmax_is_diag_frac_mean,col_argmax_is_diag_frac_max,col_argmax_is_diag_frac_min,symmetry_fro_mean,symmetry_fro_max,symmetry_fro_min,symmetry_rmse_mean,symmetry_rmse_max,symmetry_rmse_min,row_err_max_mean,row_err_max_max,row_err_max_min,row_err_mean_mean,row_err_mean_max,row_err_mean_min,col_err_max_mean,col_err_max_max,col_err_max_min,col_err_mean_mean,col_err_mean_max,col_err_mean_min,nonneg_violation_max_mean,nonneg_violation_max_max,nonneg_violation_max_min,nonneg_violation_mean_mean,nonneg_violation_mean_max,nonneg_violation_mean_min,sparsity_abs_lt_0p0001_mean,sparsity_abs_lt_0p0001_max,sparsity_abs_lt_0p0001_min,offdiag_sparsity_abs_lt_0p0001_mean,offdiag_sparsity_abs_lt_0p0001_max,offdiag_sparsity_abs_lt_0p0001_min,sparsity_abs_lt_0p001_mean,sparsity_abs_lt_0p001_max,sparsity_abs_lt_0p001_min,offdiag_sparsity_abs_lt_0p001_mean,offdiag_sparsity_abs_lt_0p001_max,offdiag_sparsity_abs_lt_0p001_min,sparsity_abs_lt_0p01_mean,sparsity_abs_lt_0p01_max,sparsity_abs_lt_0p01_min,offdiag_sparsity_abs_lt_0p01_mean,offdiag_sparsity_abs_lt_0p01_max,offdiag_sparsity_abs_lt_0p01_min
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,9500,3.3925278186798096,4,sum,small,mhc-alm-nonnegative-4streams-10000iter,12,4.0,4.0,4.0,0.0002713950798352016,0.000442008109530434,6.676377233816311e-05,6.78487693524706e-05,0.0001105020273826085,1.6690943084540777e-05,4.587178849154346e-05,7.599719538120553e-05,1.4413662938750349e-05,0.00015051662921905518,0.00029331445693969727,3.153085708618164e-05,3.999632020791372,3.999884605407715,3.999390125274658,0.999908005197843,0.9999711513519287,0.9998475313186646,0.0003659048318998733,0.0006059015868231654,0.00011540281411726028,9.147620797496832e-05,0.00015147539670579135,2.885070352931507e-05,3.999997893969218,4.000004768371582,3.9999935626983643,0.0009610503038857132,0.0015232076402753592,0.0003619570634327829,0.0006932512672695642,0.001098762033507228,0.0002610968076623976,0.0011245680143474601,0.002128796186298132,0.00027741104713641107,1.000961701075236,1.001524806022644,1.0003620386123657,0.9999085118373235,0.9999711513519287,0.999848484992981,0.9998504569133123,0.9999692440032959,0.9997082948684692,0.9999807973702749,0.9999909400939941,0.9999615550041199,1.0,1.0,1.0,1.0,1.0,1.0,4.097579576030815e-05,0.0001274219248443842,2.2056844954931876e-06,1.0243948940077038e-05,3.185548121109605e-05,5.514211238732969e-07,2.8361876805623374e-06,6.139278411865234e-06,7.748603820800781e-07,1.4814237753550212e-06,2.130866050720215e-06,4.3213367462158203e-07,2.7865171432495117e-06,6.020069122314453e-06,1.0132789611816406e-06,1.4007091522216797e-06,3.382563591003418e-06,5.513429641723633e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.65625,0.75,0.5,0.8749999950329462,1.0,0.6666666865348816,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,9500,3.3787872791290283,8,4mean,small,mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,12,8.0,8.0,8.0,0.00027080757111737813,0.00045779848005622625,6.192698492668569e-05,3.385094654125472e-05,5.722481000702828e-05,7.740873115835711e-06,1.5257234849741508e-05,2.6968700694851577e-05,5.066384346719133e-06,0.00015230973561604819,0.0002925395965576172,2.396106719970703e-05,7.99951155980428,7.9998369216918945,7.999137878417969,0.999938944975535,0.9999796152114868,0.9998922348022461,0.00048813214258795295,0.0008641732856631279,0.00016117027553264052,6.101651782349412e-05,0.00010802166070789099,2.0146284441580065e-05,7.999999801317851,8.000003814697266,7.999995708465576,0.0006828762367755795,0.0011713274288922548,0.00027693688753060997,0.00032839404836219427,0.0005632894462905824,0.00013317848788574338,0.0007918992256842708,0.0014976835809648037,0.00015235030150506645,1.0006832877794902,1.001172423362732,1.0002769231796265,0.99993896484375,0.9999798536300659,0.999891996383667,0.9998480429251989,0.9999766945838928,0.9997072219848633,0.9999783784151077,0.9999873638153076,0.9999520778656006,1.0,1.0,1.0,1.0,1.0,1.0,0.00013352905443753116,0.0002420283854007721,2.1626619854941964e-06,1.6691131804691395e-05,3.0253546356107108e-05,2.7033274818677455e-07,1.996755599975586e-06,2.6226043701171875e-06,1.1920928955078125e-06,8.059044679005941e-07,1.6093254089355469e-06,4.470348358154297e-07,1.7136335372924805e-06,2.384185791015625e-06,1.0132789611816406e-06,9.269764026006063e-07,1.5124678611755371e-06,4.917383193969727e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.8645833333333334,0.875,0.84375,0.988095243771871,1.0,0.9642857313156128,0.875,0.875,0.875,1.0,1.0,1.0,0.875,0.875,0.875,1.0,1.0,1.0
out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter,9500,3.381929874420166,16,4mean,small,mhc-alm-nonnegative-16streams-reduce-4mean-10000iter,12,16.0,16.0,16.0,0.00017332734933006577,0.0002692311827559024,6.104564818087965e-05,1.0832959446815948e-05,1.6826950741233304e-05,3.815353466052329e-06,4.051139891695736e-06,6.421599664463429e-06,1.8455916688253637e-06,7.81714916229248e-05,0.00012105703353881836,1.6927719116210938e-05,15.999486366907755,15.999763488769531,15.999183654785156,0.9999678979317347,0.9999852180480957,0.9999489784240723,0.000523443807954512,0.0008275248110294342,0.00023679471632931381,3.2715237997157e-05,5.172030068933964e-05,1.4799669770582113e-05,16.000009616216023,16.000024795532227,15.99999713897705,0.00041248785782954656,0.0006263157119974494,0.00021940375154372305,0.0001487735492749683,0.0002258956228615716,7.913317676866427e-05,0.0003407500959535052,0.0005129166529513896,8.998889097711071e-05,1.0004126131534576,1.000626564025879,1.0002193450927734,0.9999672869841257,0.9999852776527405,0.999948263168335,0.9999203383922577,0.9999829530715942,0.9998777508735657,0.9999823719263077,0.9999881982803345,0.9999730587005615,1.0,1.0,1.0,1.0,1.0,1.0,9.161411701560003e-05,0.00013076265167910606,1.4186836096996558e-06,5.725882502953065e-06,8.17266663943883e-06,8.866772560622849e-08,3.715356190999349e-06,9.655952453613281e-06,8.344650268554688e-07,9.626771012941997e-07,2.0153820514678955e-06,4.023313522338867e-07,3.0150016148885093e-06,4.5299530029296875e-06,1.3113021850585938e-06,9.74784294764201e-07,1.5422701835632324e-06,5.327165126800537e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0
out-owt-small-mhc-alm-nonnegative-32streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-32streams-reduce-4mean-10000iter,9500,3.3728034496307373,32,4mean,small,mhc-alm-nonnegative-32streams-reduce-4mean-10000iter,12,32.0,32.0,32.0,0.00012332561982475454,0.0002427663712296635,4.932136653224006e-05,3.853925647945289e-06,7.586449100926984e-06,1.5412925904456642e-06,1.0418562178908057e-06,2.1224400370556396e-06,5.422544973043841e-07,4.966557025909424e-05,8.624792098999023e-05,1.239776611328125e-05,31.999474843343098,31.999731063842773,31.99892807006836,0.9999835888544718,0.9999915957450867,0.9999665021896362,0.0005415103829970273,0.0011031772010028362,0.0002835309715010226,1.69221994686571e-05,3.447428753133863e-05,8.860342859406956e-06,32.000016371409096,32.00004196166992,31.999996185302734,0.0002334735994130218,0.00045316663454286754,0.00013756491534877568,6.736624194066583e-05,0.0001307562633883208,3.969284443883225e-05,0.00021880304999892056,0.000367622182238847,5.7244356867158785e-05,1.0002335011959076,1.0004533529281616,1.0001375675201416,0.9999830822149912,0.9999911189079285,0.999965488910675,0.9999425311883291,0.9999874234199524,0.9999037981033325,0.9999889781077703,0.9999933242797852,0.9999772906303406,1.0,1.0,1.0,1.0,1.0,1.0,5.597593182452935e-05,0.00010188885062234476,2.5677063604234718e-06,1.749247869516542e-06,3.1840263545745984e-06,8.024082376323349e-08,9.998679161071777e-06,3.445148468017578e-05,9.5367431640625e-07,1.0064492623011272e-06,1.646578311920166e-06,2.2351741790771484e-07,3.7501255671183267e-06,5.7220458984375e-06,8.940696716308594e-07,9.8797803123792e-07,1.4547258615493774e-06,2.738088369369507e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,0.96875,0.96875,1.0,1.0,1.0,0.96875,0.96875,0.96875,1.0,1.0,1.0,0.96875,0.96875,0.96875,1.0,1.0,1.0
