checkpoint,label,key,layer,component,n,identity_fro,identity_rmse,identity_mae,identity_max_abs,diag_mass,diag_mass_frac,offdiag_mass,offdiag_mass_frac,total_mass,row_entropy_mean,row_entropy_norm_mean,row_entropy_norm_max,effective_support_mean,row_top1_mass_mean,row_top1_mass_min,row_top2_mass_mean,row_argmax_is_diag_frac,col_argmax_is_diag_frac,symmetry_fro,symmetry_rmse,row_err_max,row_err_mean,col_err_max,col_err_mean,nonneg_violation_max,nonneg_violation_mean,sparsity_abs_lt_0p0001,offdiag_sparsity_abs_lt_0p0001,sparsity_abs_lt_0p001,offdiag_sparsity_abs_lt_0p001,sparsity_abs_lt_0p01,offdiag_sparsity_abs_lt_0p01
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,transformer.h.5.hc_attn.static_alpha,5,attn,4.0,0.000442008109530434,0.0001105020273826085,7.49369355617091e-05,0.00029331445693969727,3.9994001388549805,0.9998500347137451,0.0005991297075524926,0.00014978242688812315,3.9999992847442627,0.0015232076402753592,0.001098762033507228,0.002128796186298132,1.001524806022644,0.9998502731323242,0.9997082948684692,0.9999615550041199,1.0,1.0,2.081653474306222e-05,5.204133685765555e-06,1.6093254089355469e-06,1.2665987014770508e-06,2.2649765014648438e-06,1.296401023864746e-06,0.0,0.0,0.5625,0.75,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,transformer.h.5.hc_mlp.static_alpha,5,mlp,4.0,0.0002767907571978867,6.919768929947168e-05,5.066317680757493e-05,0.00017702579498291016,3.9995970726013184,0.9998992681503296,0.00040762382559478283,0.00010190595639869571,4.000004768371582,0.0010888283140957355,0.0007854236755520105,0.0013725622557103634,1.0010894536972046,0.9998980760574341,0.9998217821121216,0.9999719858169556,1.0,1.0,0.00011084184370702133,2.771046092675533e-05,3.2186508178710938e-06,1.9371509552001953e-06,2.7418136596679688e-06,1.1622905731201172e-06,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.0.hc_attn.static_alpha,0,attn,8.0,6.192698492668569e-05,7.740873115835711e-06,5.066384346719133e-06,2.396106719970703e-05,7.9998369216918945,0.9999796152114868,0.00016117027553264052,2.0146284441580065e-05,7.999998569488525,0.00027693688753060997,0.00013317848788574338,0.00015235030150506645,1.0002769231796265,0.9999798536300659,0.9999766945838928,0.9999833106994629,1.0,1.0,2.1626619854941964e-06,2.7033274818677455e-07,1.1920928955078125e-06,6.034970283508301e-07,2.1457672119140625e-06,1.2740492820739746e-06,0.0,0.0,0.875,1.0,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.0.hc_mlp.static_alpha,0,mlp,8.0,0.0001737478596623987,2.1718482457799837e-05,9.920995580614544e-06,9.119510650634766e-05,7.999680995941162,0.9999601244926453,0.0003162973443977535,3.9537168049719185e-05,7.999998092651367,0.00047163208364509046,0.00022680708207190037,0.0005225246422924101,1.000471830368042,0.9999604225158691,0.9999105334281921,0.9999829530715942,1.0,1.0,0.00012420919665601104,1.552614958200138e-05,1.7285346984863281e-06,4.76837158203125e-07,1.0132789611816406e-06,4.917383193969727e-07,0.0,0.0,0.875,1.0,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.1.hc_attn.static_alpha,1,attn,8.0,0.00025341653963550925,3.1677067454438657e-05,1.390118632116355e-05,0.00012683868408203125,7.99955415725708,0.999944269657135,0.0004440120537765324,5.550150672206655e-05,7.999998092651367,0.0006288945442065597,0.0003024343168362975,0.0006451421650126576,1.000629186630249,0.9999445080757141,0.9998748302459717,0.9999796152114868,1.0,1.0,0.00011464458657428622,1.4330573321785778e-05,1.6689300537109375e-06,4.470348358154297e-07,1.1920928955078125e-06,6.48200511932373e-07,0.0,0.0,0.859375,0.9821428656578064,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.1.hc_mlp.static_alpha,1,mlp,8.0,0.00025344706955365837,3.1680883694207296e-05,1.3239852705737576e-05,0.00012546777725219727,7.999574184417725,0.9999467730522156,0.0004215350782033056,5.26918847754132e-05,7.999995708465576,0.0005906802834942937,0.00028405713965184987,0.0006546353688463569,1.0005909204483032,0.9999472498893738,0.9998748898506165,0.9999839663505554,1.0,1.0,0.0001387209922540933,1.734012403176166e-05,1.7881393432617188e-06,6.631016731262207e-07,1.5497207641601562e-06,8.791685104370117e-07,0.0,0.0,0.859375,0.9821428656578064,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.2.hc_attn.static_alpha,2,attn,8.0,0.0003719152300618589,4.648940375773236e-05,1.9517934561008587e-05,0.00018334388732910156,7.999373912811279,0.9999217391014099,0.000623299041762948,7.79123802203685e-05,7.999998092651367,0.0008452534675598145,0.0004064809763804078,0.0009018097189255059,1.0008459091186523,0.9999220967292786,0.9998170137405396,0.9999785423278809,1.0,1.0,0.0002420283854007721,3.0253546356107108e-05,1.9073486328125e-06,6.780028343200684e-07,2.2649765014648438e-06,1.259148120880127e-06,0.0,0.0,0.84375,0.9642857313156128,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.2.hc_mlp.static_alpha,2,mlp,8.0,0.00020987742755096406,2.6234678443870507e-05,1.155144036601996e-05,0.00010663270950317383,7.999629974365234,0.9999537467956543,0.00036974335671402514,4.621791958925314e-05,8.0,0.0005272229900583625,0.0002535406965762377,0.0005395078915171325,1.0005273818969727,0.9999537467956543,0.9998955130577087,0.9999862313270569,1.0,1.0,0.00011023858678527176,1.377982334815897e-05,2.1457672119140625e-06,7.525086402893066e-07,1.1920928955078125e-06,6.854534149169922e-07,0.0,0.0,0.875,1.0,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.3.hc_attn.static_alpha,3,attn,8.0,0.00020132280769757926,2.5165350962197408e-05,1.1035626812372357e-05,0.0001080632209777832,7.999648571014404,0.9999560713768005,0.00035485121770761907,4.4356402213452384e-05,8.00000286102295,0.0005084060248918831,0.0002444916171953082,0.0005693776183761656,1.0005086660385132,0.9999556541442871,0.999893069267273,0.9999873638153076,1.0,1.0,7.831629045540467e-05,9.789536306925584e-06,2.5033950805664062e-06,8.046627044677734e-07,1.5497207641601562e-06,9.760260581970215e-07,0.0,0.0,0.875,1.0,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.3.hc_mlp.static_alpha,3,mlp,8.0,0.00023711167159490287,2.9638960768352263e-05,1.3110258805681951e-05,0.00012695789337158203,7.999579429626465,0.9999474287033081,0.0004184861609246582,5.231077011558227e-05,7.999998092651367,0.0005896074580959976,0.0002835412451531738,0.0006819540867581964,1.0005898475646973,0.999947726726532,0.999873161315918,0.9999825358390808,1.0,1.0,0.0001205859734909609,1.5073246686370112e-05,1.9073486328125e-06,9.685754776000977e-07,2.086162567138672e-06,8.121132850646973e-07,0.0,0.0,0.875,1.0,0.875,1.0,0.875,1.0
