checkpoint,label,h_res_mode,key,layer,component,n,identity_fro,identity_rmse,identity_mae,identity_max_abs,diag_mass,diag_mass_frac,offdiag_mass,offdiag_mass_frac,offdiag_abs_mean,offdiag_abs_max,total_mass,row_entropy_mean,row_entropy_norm_mean,row_entropy_norm_max,effective_support_mean,row_top1_mass_mean,row_top1_mass_min,row_top2_mass_mean,row_argmax_is_diag_frac,col_argmax_is_diag_frac,symmetry_fro,symmetry_rmse,row_err_max,row_err_mean,col_err_max,col_err_mean,nonneg_violation_max,nonneg_violation_mean,sparsity_abs_lt_0p0001,offdiag_sparsity_abs_lt_0p0001,sparsity_abs_lt_0p001,offdiag_sparsity_abs_lt_0p001,sparsity_abs_lt_0p01,offdiag_sparsity_abs_lt_0p01
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.5.hc_attn.static_alpha,5,attn,4.0,0.000442008109530434,0.0001105020273826085,7.49369355617091e-05,0.00029331445693969727,3.9994001388549805,0.9998500347137451,0.0005991297075524926,0.00014978242688812315,4.9927475629374385e-05,0.00015986128710210323,3.9999992847442627,0.0015232076402753592,0.001098762033507228,0.002128796186298132,1.001524806022644,0.9998502731323242,0.9997082948684692,0.9999615550041199,1.0,1.0,2.081653474306222e-05,5.204133685765555e-06,1.6093254089355469e-06,1.2665987014770508e-06,2.2649765014648438e-06,1.296401023864746e-06,0.0,0.0,0.5625,0.75,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.5.hc_mlp.static_alpha,5,mlp,4.0,0.0002767907571978867,6.919768929947168e-05,5.066317680757493e-05,0.00017702579498291016,3.9995970726013184,0.9998992681503296,0.00040762382559478283,0.00010190595639869571,3.396865213289857e-05,8.528438047505915e-05,4.000004768371582,0.0010888283140957355,0.0007854236755520105,0.0013725622557103634,1.0010894536972046,0.9998980760574341,0.9998217821121216,0.9999719858169556,1.0,1.0,0.00011084184370702133,2.771046092675533e-05,3.2186508178710938e-06,1.9371509552001953e-06,2.7418136596679688e-06,1.1622905731201172e-06,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.0.hc_attn.static_alpha,0,attn,4.0,4.738533334602835e-06,1.1846333336507087e-06,9.484127758696559e-07,2.1457672119140625e-06,3.999997615814209,0.9999994039535522,-3.303318862890592e-08,-8.25829715722648e-09,7.132073847060383e-07,2.1281464341882383e-06,3.999997615814209,1.585584323038347e-05,1.1437572538852692e-05,1.938469176820945e-05,1.0000158548355103,0.999998927116394,0.9999982118606567,0.9999997615814209,1.0,1.0,4.481688392843353e-06,1.1204220982108382e-06,1.430511474609375e-06,5.960464477539062e-07,3.7550926208496094e-06,2.4884939193725586e-06,2.1281464341882383e-06,2.68485052856704e-07,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.0.hc_mlp.static_alpha,0,mlp,4.0,0.0005799781647510827,0.00014499454118777066,0.00010545533586991951,0.00036041109706275165,3.999849796295166,0.9999624490737915,0.0001467137481085956,3.66784370271489e-05,0.00010527647100389004,0.00036041109706275165,3.9999966621398926,0.0017208859790116549,0.0012413568329066038,0.002795756794512272,1.0017231702804565,0.9998237490653992,0.9995781183242798,0.999968409538269,1.0,1.0,0.0008023899863474071,0.00020059749658685178,1.5497207641601562e-06,9.238719940185547e-07,2.4437904357910156e-06,1.8775463104248047e-06,0.00031301673152484,3.489387017907575e-05,0.5,0.6666666865348816,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.1.hc_attn.static_alpha,1,attn,4.0,0.0005653155967593193,0.00014132889918982983,0.00010655822552507743,0.0003101731126662344,4.000037670135498,1.0000094175338745,-2.7317353669786826e-05,-6.8293384174467064e-06,0.00012108189548598602,0.0003101731126662344,4.0000104904174805,0.0017283875495195389,0.0012467680498957634,0.002030609641224146,1.00173020362854,0.9998217821121216,0.9996899366378784,0.9999780058860779,1.0,1.0,0.0009785071015357971,0.0002446267753839493,1.7404556274414062e-05,6.139278411865234e-06,6.794929504394531e-06,4.0531158447265625e-06,0.0002997776900883764,4.625937435775995e-05,0.4375,0.5833333134651184,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.1.hc_mlp.static_alpha,1,mlp,4.0,0.0007309287902899086,0.00018273219757247716,0.00014919288514647633,0.0004010382399428636,4.000524044036865,1.0001310110092163,-0.0005227327346801758,-0.00013068318367004395,0.00014159909915179014,0.0004010382399428636,4.000001430511475,0.0013976828195154667,0.0010082151275128126,0.0016136260237544775,1.001399040222168,0.9998530149459839,0.9997603893280029,1.0,1.0,1.0,0.0007797478465363383,0.00019493696163408458,1.71661376953125e-05,8.210539817810059e-06,7.331371307373047e-06,5.0961971282958984e-06,0.0004010382399428636,6.94350601406768e-05,0.3125,0.4166666567325592,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.2.hc_attn.static_alpha,2,attn,4.0,0.0005957108805887401,0.00014892772014718503,0.00012036357657052577,0.00034427642822265625,4.000639915466309,1.0001599788665771,-0.0006334804929792881,-0.00015837012324482203,0.00010714852396631613,0.00022434060520026833,4.000006675720215,0.0008296516025438905,0.0005984671297483146,0.0009581883205100894,1.000830054283142,0.9999184608459473,0.9998660683631897,0.9999980330467224,1.0,1.0,0.0005480680847540498,0.00013701702118851244,1.990795135498047e-05,8.314847946166992e-06,5.0067901611328125e-06,1.6093254089355469e-06,0.00022434060520026833,5.9976973716402426e-05,0.375,0.5,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.2.hc_mlp.static_alpha,2,mlp,4.0,0.0008927608723752201,0.00022319021809380502,0.0001794834970496595,0.0005898475646972656,4.001014232635498,1.0002535581588745,-0.0010093764867633581,-0.00025234412169083953,0.00015477207489311695,0.00034000506275333464,4.00000524520874,0.0010342252207919955,0.0007460357155650854,0.0015797028318047523,1.0010349750518799,0.9998940229415894,0.9997660517692566,1.0,1.0,1.0,0.0006900499574840069,0.00017251248937100172,1.5616416931152344e-05,6.5267086029052734e-06,7.271766662597656e-06,3.2633543014526367e-06,0.00034000506275333464,8.958253602031618e-05,0.25,0.3333333432674408,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.3.hc_attn.static_alpha,3,attn,4.0,0.0009824364678934216,0.0002456091169733554,0.00018093030666932464,0.0006014108657836914,4.000899314880371,1.0002248287200928,-0.0008952684584073722,-0.00022381711460184306,0.0001662676950218156,0.0005369969876483083,4.000004291534424,0.001334587810561061,0.0009627016261219978,0.0020120504777878523,1.0013359785079956,0.999862551689148,0.9997065663337708,0.9999911189079285,1.0,1.0,0.0008641422027722001,0.00021603555069305003,1.704692840576172e-05,7.599592208862305e-06,2.86102294921875e-06,1.519918441772461e-06,0.0005369969876483083,9.032752859639004e-05,0.1875,0.25,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.3.hc_mlp.static_alpha,3,mlp,4.0,0.0013111482840031385,0.00032778707100078464,0.0002673585549928248,0.0006423467420972884,4.001579284667969,1.0003948211669922,-0.0015777542721480131,-0.0003944385680370033,0.00022488093236461282,0.0006423467420972884,4.000001430511475,0.001352405291981995,0.0009755542268976569,0.002921244828030467,1.0013545751571655,0.9998599886894226,0.9995662569999695,0.9999668002128601,1.0,1.0,0.000842427893076092,0.000210606973269023,1.1682510375976562e-05,5.4836273193359375e-06,8.761882781982422e-06,4.753470420837402e-06,0.0006423467420972884,0.00013363517064135522,0.25,0.3333333432674408,0.75,1.0,0.75,1.0
