checkpoint,label,h_res_mode,iter_num,best_val_loss,n,reduce,model,method,component,num_layers,n_mean,n_max,n_min,identity_fro_mean,identity_fro_max,identity_fro_min,identity_rmse_mean,identity_rmse_max,identity_rmse_min,identity_mae_mean,identity_mae_max,identity_mae_min,identity_max_abs_mean,identity_max_abs_max,identity_max_abs_min,diag_mass_mean,diag_mass_max,diag_mass_min,diag_mass_frac_mean,diag_mass_frac_max,diag_mass_frac_min,offdiag_mass_mean,offdiag_mass_max,offdiag_mass_min,offdiag_mass_frac_mean,offdiag_mass_frac_max,offdiag_mass_frac_min,offdiag_abs_mean_mean,offdiag_abs_mean_max,offdiag_abs_mean_min,offdiag_abs_max_mean,offdiag_abs_max_max,offdiag_abs_max_min,total_mass_mean,total_mass_max,total_mass_min,row_entropy_mean_mean,row_entropy_mean_max,row_entropy_mean_min,row_entropy_norm_mean_mean,row_entropy_norm_mean_max,row_entropy_norm_mean_min,row_entropy_norm_max_mean,row_entropy_norm_max_max,row_entropy_norm_max_min,effective_support_mean_mean,effective_support_mean_max,effective_support_mean_min,row_top1_mass_mean_mean,row_top1_mass_mean_max,row_top1_mass_mean_min,row_top1_mass_min_mean,row_top1_mass_min_max,row_top1_mass_min_min,row_top2_mass_mean_mean,row_top2_mass_mean_max,row_top2_mass_mean_min,row_argmax_is_diag_frac_mean,row_argmax_is_diag_frac_max,row_argmax_is_diag_frac_min,col_argmax_is_diag_frac_mean,col_argmax_is_diag_frac_max,col_argmax_is_diag_frac_min,symmetry_fro_mean,symmetry_fro_max,symmetry_fro_min,symmetry_rmse_mean,symmetry_rmse_max,symmetry_rmse_min,row_err_max_mean,row_err_max_max,row_err_max_min,row_err_mean_mean,row_err_mean_max,row_err_mean_min,col_err_max_mean,col_err_max_max,col_err_max_min,col_err_mean_mean,col_err_mean_max,col_err_mean_min,nonneg_violation_max_mean,nonneg_violation_max_max,nonneg_violation_max_min,nonneg_violation_mean_mean,nonneg_violation_mean_max,nonneg_violation_mean_min,sparsity_abs_lt_0p0001_mean,sparsity_abs_lt_0p0001_max,sparsity_abs_lt_0p0001_min,offdiag_sparsity_abs_lt_0p0001_mean,offdiag_sparsity_abs_lt_0p0001_max,offdiag_sparsity_abs_lt_0p0001_min,sparsity_abs_lt_0p001_mean,sparsity_abs_lt_0p001_max,sparsity_abs_lt_0p001_min,offdiag_sparsity_abs_lt_0p001_mean,offdiag_sparsity_abs_lt_0p001_max,offdiag_sparsity_abs_lt_0p001_min,sparsity_abs_lt_0p01_mean,sparsity_abs_lt_0p01_max,sparsity_abs_lt_0p01_min,offdiag_sparsity_abs_lt_0p01_mean,offdiag_sparsity_abs_lt_0p01_max,offdiag_sparsity_abs_lt_0p01_min
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,9500,3.3945136070251465,4,sum,small,mhc-identity-h-res-4streams-10000iter,attn,6,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,9500,3.3945136070251465,4,sum,small,mhc-identity-h-res-4streams-10000iter,mlp,6,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,9500,3.3925278186798096,4,sum,small,mhc-alm-nonnegative-4streams-10000iter,attn,6,4.0,4.0,4.0,0.0002812520360748749,0.000442008109530434,6.676377233816311e-05,7.031300901871873e-05,0.0001105020273826085,1.6690943084540777e-05,4.809635447600158e-05,7.599719538120553e-05,1.4413662938750349e-05,0.0001541773478190104,0.00029331445693969727,3.153085708618164e-05,3.9996137619018555,3.999884605407715,3.999390125274658,0.9999034404754639,0.9999711513519287,0.9998475313186646,0.0003832141592283733,0.0006059015868231654,0.00011540281411726028,9.580353980709333e-05,0.00015147539670579135,2.885070352931507e-05,3.193451342061356e-05,5.049179890193045e-05,9.616901479603257e-06,0.00011173305392730981,0.0001634157233638689,1.198485551867634e-05,3.999996821085612,4.0,3.9999935626983643,0.0009991355958239485,0.0015232076402753592,0.0003619570634327829,0.0007207239783989886,0.001098762033507228,0.0002610968076623976,0.001141255638988999,0.002128796186298132,0.00027741104713641107,1.000999887784322,1.001524806022644,1.0003620386123657,0.999904195467631,0.9999711513519287,0.999848484992981,0.9998470942179362,0.9999692440032959,0.9997082948684692,0.9999798238277435,0.9999909400939941,0.9999615550041199,1.0,1.0,1.0,1.0,1.0,1.0,3.322981622962592e-05,0.0001274219248443842,2.4437217689410318e-06,8.30745405740648e-06,3.185548121109605e-05,6.109304422352579e-07,2.86102294921875e-06,6.139278411865234e-06,7.748603820800781e-07,1.4776984850565593e-06,2.130866050720215e-06,4.3213367462158203e-07,3.32792599995931e-06,6.020069122314453e-06,2.0265579223632812e-06,1.7260511716206868e-06,3.382563591003418e-06,8.344650268554688e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.6458333333333334,0.75,0.5,0.8611111144224802,1.0,0.6666666865348816,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,9500,3.3925278186798096,4,sum,small,mhc-alm-nonnegative-4streams-10000iter,mlp,6,4.0,4.0,4.0,0.0002615381235955283,0.00029740517493337393,0.00018913226085714996,6.538452968622248e-05,7.435129373334348e-05,4.728306521428749e-05,4.364722250708534e-05,5.066317680757493e-05,3.702546382555738e-05,0.00014685591061909994,0.00018334388732910156,9.810924530029297e-05,3.9996502796808877,3.9997005462646484,3.9995970726013184,0.9999125699202219,0.9999251365661621,0.9998992681503296,0.0003485955045713733,0.00040762382559478283,0.0002930133487097919,8.714887614284332e-05,0.00010190595639869571,7.325333717744797e-05,2.904962517883784e-05,3.396865213289857e-05,2.4417779059149325e-05,0.00010747545942043264,0.00013255687372293323,7.235826342366636e-05,3.9999989668528237,4.000004768371582,3.9999935626983643,0.0009229650119474778,0.0010888283140957355,0.000795771018601954,0.0006657785561401397,0.0007854236755520105,0.0005740274791605771,0.0011078803897059213,0.0013725622557103634,0.0007862416678108275,1.00092351436615,1.0010894536972046,1.0007963180541992,0.999912828207016,0.999926745891571,0.9998980760574341,0.9998538196086884,0.9999030232429504,0.9998171925544739,0.9999817709128062,0.999989926815033,0.9999679923057556,1.0,1.0,1.0,1.0,1.0,1.0,4.8721775290990386e-05,0.00011084184370702133,2.2056844954931876e-06,1.2180443822747597e-05,2.771046092675533e-05,5.514211238732969e-07,2.8113524119059243e-06,4.112720489501953e-06,7.748603820800781e-07,1.4851490656534831e-06,1.9371509552001953e-06,5.960464477539062e-07,2.2451082865397134e-06,3.635883331298828e-06,1.0132789611816406e-06,1.0753671328226726e-06,1.5944242477416992e-06,5.513429641723633e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.625,0.8888888756434122,1.0,0.8333333134651184,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,9500,3.3965446949005127,4,sum,small,mhc-alm-signed-sprox-4streams-10000iter,attn,6,4.0,4.0,4.0,0.0008349182742222183,0.0015002094442024827,4.738533334602835e-06,0.00020872956855555458,0.0003750523610506207,1.1846333336507087e-06,0.0001637654542226604,0.0003035504196304828,9.484127758696559e-07,0.0004349281710650151,0.0007178462692536414,2.1457672119140625e-06,4.000908613204956,4.002015113830566,3.999997615814209,1.000227153301239,1.0005037784576416,0.9999994039535522,-0.0009024447360654145,-3.303318862890592e-08,-0.00200708769261837,-0.00022561118401635363,-8.25829715722648e-09,-0.0005017719231545925,0.0001395234727491849,0.00023676799901295453,7.132073847060383e-07,0.0004021642965123344,0.0007178462692536414,2.1281464341882383e-06,4.000006357828776,4.0000104904174805,3.999997615814209,0.000954116018571464,0.0017283875495195389,1.585584323038347e-05,0.0006882492258834342,0.0012467680498957634,1.1437572538852692e-05,0.001493593585413085,0.0021535970736294985,1.938469176820945e-05,1.000955065091451,1.00173020362854,1.0000158548355103,0.999903549750646,0.999998927116394,0.9998217821121216,0.9997837642828623,0.9999982118606567,0.9996899366378784,0.9999867578347524,0.9999997615814209,0.9999740123748779,1.0,1.0,1.0,1.0,1.0,1.0,0.0006262851512322717,0.0009785071015357971,4.481688392843353e-06,0.00015657128780806792,0.0002446267753839493,1.1204220982108382e-06,1.2099742889404297e-05,1.990795135498047e-05,1.430511474609375e-06,5.009273687998454e-06,8.314847946166992e-06,5.960464477539062e-07,6.268421808878581e-06,1.2278556823730469e-05,2.86102294921875e-06,3.7575761477152505e-06,8.016824722290039e-06,1.519918441772461e-06,0.00040043172608269134,0.0007178462692536414,2.1281464341882383e-06,8.052270253718537e-05,0.00015150949184317142,2.68485052856704e-07,0.3854166666666667,0.75,0.1875,0.5138888855775198,1.0,0.25,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,9500,3.3965446949005127,4,sum,small,mhc-alm-signed-sprox-4streams-10000iter,mlp,6,4.0,4.0,4.0,0.001089928603808706,0.001616970170289278,0.0005799781647510827,0.0002724821509521765,0.0004042425425723195,0.00014499454118777066,0.00021955210468149744,0.00032960204407572746,0.00010545533586991951,0.0005611758679151535,0.0007290840148925781,0.00036041109706275165,4.001194000244141,4.002279281616211,3.999849796295166,1.0002985000610352,1.0005698204040527,0.9999624490737915,-0.0011922077683266252,0.0001467137481085956,-0.00228127115406096,-0.0002980519420816563,3.66784370271489e-05,-0.00057031778851524,0.00018297915327517936,0.0002495093795005232,0.00010527647100389004,0.0005121968618671721,0.0006850524805486202,0.00034000506275333464,4.000001907348633,4.000008583068848,3.9999966621398926,0.0012259808621214081,0.0017208859790116549,0.0009018658311106265,0.0008843582569776723,0.0012413568329066038,0.0006505586788989604,0.0020716917157794037,0.002921244828030467,0.0015797028318047523,1.001227358977,1.0017231702804565,1.000902771949768,0.9998746116956075,0.9999109506607056,0.9998237490653992,0.999696691830953,0.9997660517692566,0.9995662569999695,0.999981423219045,1.0,0.9999668002128601,1.0,1.0,1.0,1.0,1.0,1.0,0.0007538292848039418,0.000842427893076092,0.0006290221936069429,0.00018845732120098546,0.000210606973269023,0.00015725554840173572,9.914239247639975e-06,1.71661376953125e-05,1.5497207641601562e-06,4.584590593973796e-06,8.210539817810059e-06,9.238719940185547e-07,8.354584376017252e-06,1.52587890625e-05,2.4437904357910156e-06,4.681448141733806e-06,8.89599323272705e-06,1.8775463104248047e-06,0.0005042978009441867,0.0006850524805486202,0.00031301673152484,0.00010587366826560658,0.00016485572268720716,3.489387017907575e-05,0.2916666666666667,0.5,0.1875,0.3888888955116272,0.6666666865348816,0.25,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
out-owt-small-mhc-admm-reverse-kl-sprox-alm-4streams-10000iter/ckpt.pt,out-owt-small-mhc-admm-reverse-kl-sprox-alm-4streams-10000iter,admm_reverse_kl_sprox_alm,2400,3.8128371238708496,4,sum,small,mhc-admm-reverse-kl-sprox-alm-4streams-10000iter,attn,6,4.0,4.0,4.0,0.016368670699497063,0.016949940472841263,0.015893416479229927,0.004092167674874266,0.004237485118210316,0.003973354119807482,0.0035419000002245107,0.003668488934636116,0.003439263440668583,0.007189393043518066,0.00747758150100708,0.007041454315185547,3.971656640370687,3.9724788665771484,3.9706432819366455,0.9929141600926717,0.9931197166442871,0.9926608204841614,0.02832706831395626,0.02933928370475769,0.02750689908862114,0.007081767078489065,0.007334820926189423,0.006876724772155285,0.0023605891037732363,0.002444940386340022,0.002292241668328643,0.002528779247465233,0.002639568643644452,0.002399423159658909,3.9999837080637612,3.999985456466675,3.999981641769409,0.04988151850799719,0.05141318961977959,0.048643309623003006,0.03598190968235334,0.03708677738904953,0.03508872911334038,0.03707565739750862,0.03811423480510712,0.036121536046266556,1.0511481364568074,1.0527584552764893,1.0498462915420532,0.9929182430108389,0.9931232333183289,0.99266517162323,0.9926677445570627,0.9928877353668213,0.9924278855323792,0.995361715555191,0.9954885244369507,0.9951645135879517,1.0,1.0,1.0,1.0,1.0,1.0,0.0006253351990987236,0.0009731341851875186,0.0003096834698226303,0.0001563337997746809,0.00024328354629687965,7.742086745565757e-05,0.00024290879567464194,0.0004404783248901367,7.528066635131836e-05,0.00016189863284428915,0.00027298927307128906,6.912648677825928e-05,0.00024529298146565753,0.0004324913024902344,8.249282836914062e-05,0.0001626238226890564,0.0002733469009399414,6.890296936035156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,1.0,1.0,1.0
out-owt-small-mhc-admm-reverse-kl-sprox-alm-4streams-10000iter/ckpt.pt,out-owt-small-mhc-admm-reverse-kl-sprox-alm-4streams-10000iter,admm_reverse_kl_sprox_alm,2400,3.8128371238708496,4,sum,small,mhc-admm-reverse-kl-sprox-alm-4streams-10000iter,mlp,6,4.0,4.0,4.0,0.01618928338090579,0.016857605427503586,0.015929320827126503,0.004047320845226447,0.0042144013568758965,0.003982330206781626,0.0035028546505297222,0.0036485823802649975,0.003444800851866603,0.007140864928563436,0.007393002510070801,0.0070302486419677734,3.9719690879185996,3.9724338054656982,3.9708032608032227,0.9929922719796499,0.9931084513664246,0.9927008152008057,0.02801470272243023,0.029180580750107765,0.02755061909556389,0.007003675680607557,0.007295145187526941,0.006887654773890972,0.0023345585990076265,0.002431715140119195,0.0022958850022405386,0.0025072500575333834,0.0026058072689920664,0.0024087659548968077,3.9999837478001914,3.9999849796295166,3.9999821186065674,0.049408341447512306,0.051174990832805634,0.048696137964725494,0.035640583684047066,0.03691495209932327,0.035126835107803345,0.036651888862252235,0.03769208863377571,0.03598858416080475,1.0506505171457927,1.0525074005126953,1.0499024391174316,0.9929963250954946,0.993112325668335,0.9927048087120056,0.9927651385466257,0.9929184913635254,0.9925253987312317,0.9954222043355306,0.9954958558082581,0.9952177405357361,1.0,1.0,1.0,1.0,1.0,1.0,0.0006809307524235919,0.0009211805299855769,0.00035475441836752,0.00017023268810589798,0.00023029513249639422,8.868860459188e-05,0.00023190180460611978,0.0003528594970703125,0.00011181831359863281,0.00013474375009536743,0.0002244114875793457,7.249414920806885e-05,0.00023738543192545572,0.0003618001937866211,0.00011974573135375977,0.00013406574726104736,0.00022432208061218262,7.261335849761963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,1.0,1.0,1.0
